iter,assign_ms,update_ms,total_ms
0,16.739,2.18211,18.9211
1,16.4429,2.08475,18.5276
2,16.4765,2.08677,18.5632
3,16.4361,2.09561,18.5318
4,16.4864,2.08075,18.5672
5,16.4497,2.08855,18.5383
6,16.4315,2.11813,18.5497
7,16.4643,2.07181,18.5361
8,16.4407,2.07393,18.5146
9,16.4544,2.08384,18.5382
