iter,assign_ms,update_ms,total_ms
0,290.88,5.05209,295.932
1,289.81,4.85161,294.662
2,290.404,4.93642,295.341
3,292.149,5.08093,297.23
4,291.481,4.48755,295.968
5,292.051,5.06694,297.118
6,291.409,4.81296,296.222
7,290.067,4.67965,294.747
8,291.719,4.84947,296.569
9,291.95,4.79734,296.747
