iter,assign_ms,update_ms,total_ms
0,16.6645,2.22974,18.8943
1,16.4698,2.09197,18.5618
2,16.4569,2.08412,18.541
3,16.4861,2.09662,18.5827
4,16.4673,2.12146,18.5888
5,16.47,2.10222,18.5723
6,16.4994,2.11147,18.6109
7,16.4458,2.07591,18.5217
8,16.5042,2.09183,18.5961
9,16.4631,2.1087,18.5718
