iter,assign_ms,update_ms,total_ms
0,17.539,2.2246,19.7636
1,17.1232,2.11413,19.2373
2,17.0854,2.09334,19.1787
3,17.1147,2.11543,19.2302
4,17.1108,2.10572,19.2165
5,17.0906,2.22091,19.3115
6,17.1542,2.18785,19.342
7,17.1244,2.14307,19.2674
8,17.1255,2.20757,19.3331
9,17.0986,2.17143,19.2701
