iter,inertia,N,D,K,iters,seed
0,1.32745e+07,200000,16,8,10,1
1,9.53306e+06,200000,16,8,10,1
2,8.90247e+06,200000,16,8,10,1
3,8.78249e+06,200000,16,8,10,1
4,8.42775e+06,200000,16,8,10,1
5,8.00995e+06,200000,16,8,10,1
6,7.98452e+06,200000,16,8,10,1
7,7.98414e+06,200000,16,8,10,1
8,7.9841e+06,200000,16,8,10,1
9,7.98407e+06,200000,16,8,10,1
