iter,assign_ms,update_ms,total_ms
0,22.0273,2.37153,24.3988
1,21.28,2.23333,23.5133
2,21.3178,2.26336,23.5812
3,21.3355,2.33098,23.6665
4,21.2666,2.22583,23.4924
5,21.4248,2.43368,23.8584
6,21.6574,2.39127,24.0487
7,21.7804,2.37435,24.1547
8,21.6551,2.32998,23.9851
9,21.5002,2.36317,23.8633
