iter,assign_ms,update_ms,total_ms
0,288.338,4.93631,293.274
1,289.763,4.5733,294.336
2,285.635,4.68688,290.322
3,288.944,4.5914,293.535
4,287.307,4.85915,292.166
5,288.781,4.74847,293.53
6,290.581,4.75556,295.337
7,289.313,4.75019,294.063
8,288.041,4.90903,292.95
9,283.881,4.653,288.534
