iter,assign_ms,update_ms,total_ms
0,18.8124,2.2102,21.0226
1,18.4687,2.10336,20.5721
2,18.4684,2.08465,20.553
3,18.4265,2.09681,20.5233
4,18.4559,2.09391,20.5498
5,18.791,2.11131,20.9023
6,20.6086,2.15156,22.7601
7,22.3921,2.14879,24.5409
8,20.2295,2.10211,22.3316
9,18.4419,2.09735,20.5392
