iter,assign_ms,update_ms,total_ms
0,349.729,4.91384,354.643
1,350.207,4.65823,354.866
2,355.935,4.59706,360.532
3,351.683,4.67673,356.36
4,350.584,4.84831,355.433
5,352.823,4.45027,357.274
6,350.721,4.67368,355.395
7,350.354,4.69164,355.045
8,351.241,4.64669,355.888
9,350.511,5.02139,355.532
