iteration,assign_ms,update_ms,total_ms
1,20.293525,1.460965,21.755536
2,19.573900,1.282106,20.856625
3,19.245829,1.277802,20.523973
4,20.494340,1.473633,21.968305
5,19.268975,1.338765,20.608481
6,19.224412,1.403737,20.628437
7,19.303290,1.333994,20.637407
8,19.199781,1.333468,20.533346
9,19.226281,1.351223,20.578285
10,19.303792,1.315444,20.619359
11,19.258705,1.334069,20.592877
12,19.203530,1.344035,20.547741
13,19.378765,1.574572,20.953718
14,19.245963,1.306136,20.552216
15,19.272349,1.293592,20.566035
16,19.269159,1.277018,20.546274
17,19.233911,1.276080,20.510825
18,19.242961,1.321312,20.564424
19,19.303123,1.289662,20.592907
20,19.269979,1.275981,20.546063
