iteration,assign_ms,update_ms,total_ms
1,2.670395,2.702596,5.373626
2,2.634548,2.786548,5.421852
3,2.619129,2.775736,5.395828
4,2.630665,2.755261,5.386312
5,2.635581,2.776484,5.412757
6,2.627382,2.743523,5.371327
7,2.623694,2.736674,5.360607
8,2.600931,2.761804,5.363058
9,2.609854,2.782361,5.392887
10,2.605471,2.760617,5.366391
11,2.609088,2.730770,5.340191
12,2.623656,2.698479,5.322430
13,2.630458,2.736932,5.367728
14,2.624064,2.752693,5.377104
15,2.626422,2.734783,5.361440
16,2.634999,2.709240,5.344424
17,2.599667,2.878943,5.479416
18,2.632636,3.091252,5.724366
19,2.620280,3.085044,5.705636
20,2.626431,3.032568,5.659283
