# K-Means Inertia per Iteration
# iteration,inertia
1,6.1320621798e+06
2,2.7570487360e+06
3,2.4637961986e+06
4,2.4637903215e+06
5,2.4637862582e+06
6,2.4637834214e+06
7,2.4637811861e+06
8,2.4637796960e+06
9,2.4637787010e+06
10,2.4637779450e+06
11,2.4637773099e+06
12,2.4637767518e+06
13,2.4637762835e+06
14,2.4637758974e+06
15,2.4637756493e+06
16,2.4637753995e+06
17,2.4637752091e+06
18,2.4637750433e+06
19,2.4637749371e+06
20,2.4637748521e+06
