iteration,assign_ms,update_ms,total_ms
1,404.176958,7.802744,411.981514
2,404.367072,7.862193,412.231172
3,404.631765,7.599164,412.232668
4,404.406297,7.836175,412.242839
5,404.387901,7.715907,412.105135
6,404.558032,7.582851,412.141315
7,404.339842,7.774529,412.114787
8,404.432709,7.760949,412.193929
9,404.524059,7.660133,412.185720
10,404.436715,7.815635,412.252763
11,404.256840,8.045257,412.302328
12,404.570220,7.598162,412.168821
13,404.298368,7.834590,412.133400
14,404.235692,7.785617,412.021717
15,404.130561,7.622131,411.753091
