iteration,assign_ms,update_ms,total_ms
1,53.879103,3.048320,56.928770
2,53.691187,3.323367,57.016172
3,53.709933,3.364926,57.075850
4,53.664586,3.407825,57.072862
5,53.701644,3.364426,57.067608
6,53.665956,3.424750,57.090992
7,53.665583,3.417826,57.083782
8,53.669328,3.346004,57.015801
9,53.622673,3.435541,57.060484
10,53.693816,3.378255,57.072426
11,54.014728,3.358815,57.373892
12,54.108271,3.393703,57.502336
13,53.707433,3.456665,57.164525
14,53.655523,3.436052,57.091868
15,53.659717,3.358421,57.018513
