iteration,assign_ms,update_ms,total_ms
1,9.681039,3.143251,12.824737
2,9.593308,3.202600,12.796546
3,9.602527,3.126051,12.728978
4,9.634183,3.052132,12.686631
5,9.574792,3.471974,13.047280
6,9.576267,5.476935,15.053480
7,9.612607,5.324504,14.937303
8,9.621212,5.457446,15.078855
9,9.611589,3.097492,12.709554
10,9.633546,5.316298,14.950118
11,9.639696,5.308984,14.949042
12,9.556956,5.451256,15.008317
13,9.575995,5.223888,14.800071
14,9.648366,5.297627,14.946266
15,9.651588,5.466720,15.118492
16,9.662764,5.054876,14.717837
17,9.591032,5.362818,14.954521
18,9.566465,5.481471,15.048345
19,9.582104,5.089568,14.671839
20,9.626911,5.273289,14.900306
