iteration,assign_ms,update_ms,total_ms
1,164.827828,1.907875,166.736370
2,164.572409,2.059725,166.632766
3,164.532781,2.064182,166.597404
4,164.606265,2.035155,166.641670
5,164.433754,2.025901,166.460243
6,164.720097,2.045754,166.766073
7,164.524325,2.040853,166.565380
8,164.579256,2.035293,166.614773
9,164.561794,2.044630,166.607231
10,164.504747,2.032675,166.537710
11,164.536225,2.072573,166.609023
12,164.604436,2.052682,166.657356
13,164.490420,2.040125,166.530860
14,164.629135,2.035723,166.665110
15,164.454186,2.027086,166.481509
16,164.544896,2.040169,166.585271
17,164.511815,2.051263,166.563684
18,164.763781,2.069492,166.833502
19,164.537771,2.033173,166.571358
20,164.543158,2.079567,166.623064
