iteration,assign_ms,update_ms,total_ms
1,200.132975,9.903226,210.037639
2,199.905476,10.558625,210.465112
3,200.157585,10.525325,210.684106
4,199.860165,10.602256,210.462710
5,199.823419,10.663274,210.487552
6,199.751386,10.598007,210.349705
7,200.286582,10.656471,210.943413
8,199.864092,10.615560,210.479925
9,202.775218,11.641094,214.437398
10,199.353157,10.382993,209.736492
11,199.358577,10.461420,209.820333
12,199.319658,10.452411,209.772537
13,199.252920,10.428390,209.681560
14,199.306875,10.407623,209.714984
15,199.375008,10.374555,209.749780
