# K-Means Inertia per Iteration
# iteration,inertia
1,7.8886453619e+06
2,3.2321678026e+06
3,2.7707431286e+06
4,1.6319054954e+06
5,1.6319043788e+06
6,1.6319036603e+06
7,1.6319030757e+06
8,1.6319025441e+06
9,1.6319020376e+06
10,1.6319015627e+06
11,1.6319011534e+06
12,1.6319007922e+06
13,1.6319004394e+06
14,1.6319000567e+06
15,1.6318995847e+06
16,1.6318991470e+06
17,1.6318987506e+06
18,1.6318983826e+06
19,1.6318980273e+06
20,1.6318976790e+06
