iteration,assign_ms,update_ms,total_ms
1,1.353439,1.542548,2.896503
2,1.369366,1.832543,3.202479
3,1.356203,1.963728,3.320396
4,1.365044,1.945414,3.310646
5,1.344394,1.867850,3.212697
6,1.371930,1.896738,3.268930
7,1.344611,1.894035,3.238868
8,1.366469,2.003944,3.370623
9,1.342939,2.007170,3.350526
10,1.352684,1.986428,3.339298
11,1.359316,1.923418,3.282953
12,1.343194,1.829096,3.172496
13,1.369196,1.964262,3.333635
14,1.344506,2.012688,3.357340
15,1.361128,1.927476,3.288788
16,1.347929,1.930386,3.278522
17,1.354244,1.937218,3.292049
18,1.344687,2.014266,3.359141
19,1.342407,2.043360,3.385955
20,1.360625,1.911794,3.272611
