iteration,assign_ms,update_ms,total_ms
1,326.370081,2.300182,328.671080
2,325.910667,2.095131,328.006246
3,326.016683,2.061577,328.078478
4,326.005795,2.077139,328.083056
5,326.086929,2.121636,328.209090
6,326.002064,2.085540,328.087749
7,326.095793,2.081372,328.177330
8,325.976074,2.072404,328.048572
9,326.032534,2.074133,328.107365
10,326.072252,2.106415,328.178774
11,326.021903,2.075561,328.097574
12,326.011961,2.063784,328.075850
13,326.171351,2.131375,328.302825
14,326.089099,2.114238,328.203445
15,326.014962,2.081497,328.096565
16,326.015563,2.085759,328.101431
17,325.994303,2.066035,328.061573
18,325.964588,2.070736,328.035418
19,326.098907,2.061203,328.160215
20,326.006044,2.049306,328.055442
