iteration,assign_ms,update_ms,total_ms
1,229.606354,7.189070,236.798021
2,229.110027,7.222585,236.335231
3,228.915284,7.217339,236.135471
4,236.220708,15.819303,252.040597
5,283.034787,5.827191,288.865467
6,229.016643,5.853517,234.876663
7,229.079495,5.874550,234.954379
8,228.942669,5.868575,234.811612
9,228.698205,5.861444,234.562254
10,229.233718,16.024341,245.258609
