iteration,assign_ms,update_ms,total_ms
1,27.795222,2.693400,30.490328
2,27.742555,2.732059,30.476699
3,27.795609,2.690787,30.487740
4,27.713084,2.822263,30.535617
5,27.756131,2.736861,30.494622
6,27.737384,2.747984,30.485629
7,28.090372,2.840757,30.937389
8,27.745850,2.760393,30.506477
9,27.727497,2.767003,30.496029
10,27.685974,2.710556,30.396841
11,27.678911,2.798926,30.478249
12,27.711355,2.813650,30.525405
13,28.018285,2.741402,30.759933
14,27.737680,2.773718,30.516994
15,27.704678,2.736187,30.441357
