# K-Means Inertia per Iteration
# iteration,inertia
1,1.2245288760e+07
2,6.1599881046e+06
3,6.1597148222e+06
4,6.1597037805e+06
5,6.1596979349e+06
6,6.1596943053e+06
7,6.1596914764e+06
8,6.1596892502e+06
9,6.1596873311e+06
10,6.1596855572e+06
11,6.1596838795e+06
12,6.1596822405e+06
13,6.1596808457e+06
14,6.1596796217e+06
15,6.1596784231e+06
