iteration,assign_ms,update_ms,total_ms
1,82.819972,1.124857,83.945528
2,82.409035,1.115884,83.525611
3,82.414722,1.130325,83.545780
4,82.331981,1.168334,83.500660
5,82.474421,1.168633,83.643669
6,82.907419,1.247691,84.156546
7,82.336179,1.129480,83.465872
8,82.295171,1.140439,83.435822
9,82.243657,1.146261,83.390702
10,82.268386,1.134811,83.403445
11,82.318521,1.123806,83.442522
12,82.296352,1.132678,83.429206
13,82.326222,1.119339,83.445729
14,82.580036,1.140491,83.720721
15,82.318101,1.140312,83.458581
16,82.523261,1.136512,83.659949
17,82.372483,1.149245,83.522420
18,82.252273,1.122671,83.375248
19,82.332271,1.153903,83.486335
20,82.424403,1.263910,83.689725
