iteration,assign_ms,update_ms,total_ms
1,45.756514,0.583606,46.340914
2,45.768916,0.600639,46.370217
3,45.815735,0.628553,46.444970
4,45.799697,0.615326,46.415341
5,45.108490,0.607796,45.716976
6,44.337732,0.599337,44.937354
7,44.559212,1.047672,45.608323
8,44.362957,0.596436,44.959630
9,44.276895,0.619754,44.897629
10,44.278626,0.622352,44.901312
11,44.285143,0.588722,44.874110
12,44.254074,0.625372,44.879717
13,44.290288,0.606470,44.896937
14,44.274573,0.608052,44.882914
15,44.262740,0.628782,44.891813
16,44.295384,0.615256,44.910952
17,44.279352,0.630752,44.910788
18,44.272969,0.629120,44.902320
19,44.317263,0.599430,44.916927
20,44.319735,0.604087,44.924082
