iteration,assign_ms,update_ms,total_ms
1,37.422075,6.227477,43.651194
2,37.588187,5.812955,43.401614
3,37.512194,5.320328,42.833334
4,37.531320,5.317694,42.849124
5,37.610389,5.314336,42.925367
6,37.534115,5.309468,42.843663
7,37.602013,5.317873,42.919987
8,37.543342,5.319637,42.863069
9,37.539616,5.311983,42.852029
10,37.539956,5.312914,42.852971
