# K-Means Inertia per Iteration
# iteration,inertia
1,1.2628975173e+07
2,6.2492253564e+06
3,6.1595829271e+06
4,6.1595712484e+06
5,6.1595647504e+06
6,6.1595603832e+06
7,6.1595571665e+06
8,6.1595546354e+06
9,6.1595526276e+06
10,6.1595510144e+06
11,6.1595496350e+06
12,6.1595483715e+06
13,6.1595472391e+06
14,6.1595460303e+06
15,6.1595448457e+06
