iteration,assign_ms,update_ms,total_ms
1,3.723271,3.318689,7.044033
2,3.697623,2.457578,6.155631
3,3.697232,2.460994,6.158656
4,3.697632,2.457628,6.155370
5,3.697793,2.457767,6.156353
6,3.698494,2.460834,6.159418
7,3.699136,2.461174,6.160390
8,3.695668,2.463950,6.159718
9,3.696631,2.460643,6.157655
10,3.696861,2.460553,6.157504
11,3.698545,2.460903,6.159538
12,3.693956,2.460413,6.154459
13,3.695358,2.462697,6.158155
14,3.697362,2.461124,6.158586
15,3.698013,2.460674,6.158777
