iter,inertia,N,D,K,iters,seed
0,2.9862e+07,100000,64,64,10,1
1,2.09976e+07,100000,64,64,10,1
2,1.80004e+07,100000,64,64,10,1
3,1.69001e+07,100000,64,64,10,1
4,1.65444e+07,100000,64,64,10,1
5,1.65077e+07,100000,64,64,10,1
6,1.65065e+07,100000,64,64,10,1
7,1.65058e+07,100000,64,64,10,1
8,1.65054e+07,100000,64,64,10,1
9,1.65051e+07,100000,64,64,10,1
