iter,inertia,N,D,K,iters,seed
0,2.9862e+07,100000,64,64,5,1
1,2.09976e+07,100000,64,64,5,1
2,1.80004e+07,100000,64,64,5,1
3,1.69001e+07,100000,64,64,5,1
4,1.65444e+07,100000,64,64,5,1
