iter,inertia,N,D,K,iters,seed
0,28541.8,1000,8,4,5,1
1,23207,1000,8,4,5,1
2,21189.4,1000,8,4,5,1
3,20009.1,1000,8,4,5,1
4,18275.9,1000,8,4,5,1
