iter,assign_ms,update_ms,total_ms
0,0.010083,0.003959,0.014042
1,0.010083,0.003,0.013083
2,0.009958,0.002708,0.012666
3,0.010125,0.002709,0.012834
4,0.01,0.002667,0.012667
