iter,assign_ms,update_ms,total_ms
0,325.885,5.6281,331.513
1,325.233,5.42188,330.655
2,325.224,5.52225,330.746
3,326.893,5.00002,331.893
4,325.418,4.71296,330.131
5,325.497,5.20732,330.704
6,326.305,5.11684,331.421
7,325.412,4.6642,330.077
8,325.229,4.65579,329.885
9,325.16,5.16819,330.328
