iter,inertia,N,D,K,iters,seed
0,2.96181e+06,10000,64,64,5,2
1,2.10384e+06,10000,64,64,5,2
2,1.81785e+06,10000,64,64,5,2
3,1.70891e+06,10000,64,64,5,2
4,1.70592e+06,10000,64,64,5,2
