iter,assign_ms,update_ms,total_ms
0,7.46679,0.213208,7.68
1,7.67129,0.175791,7.84708
2,7.69325,0.169625,7.86287
3,7.63179,0.185833,7.81762
4,7.71733,0.178291,7.89562
